SERVICE_TYPE,USAGE_DATE,CREDITS_USED_COMPUTE,CREDITS_USED_CLOUD_SERVICES,CREDITS_USED,CREDITS_ADJUSTMENT_CLOUD_SERVICES,CREDITS_BILLED
WAREHOUSE_METERING,2026-06-29,79.210833281,2.477351322,81.688184603,-2.4773513220,79.2108332810
AI_FUNCTIONS,2026-06-30,0.441981000,0.000000000,0.441981000,0.0000000000,0.4419810000
AI_INFERENCE,2026-06-30,0.031876500,0.000000000,0.031876500,0.0000000000,0.0318765000
AI_SERVICES,2026-06-30,0.201000000,0.000000000,0.201000000,0.0000000000,0.2010000000
AUTO_CLUSTERING,2026-06-30,0.001388874,0.000000000,0.001388874,0.0000000000,0.0013888740
CORTEX_AGENTS,2026-06-30,0.103149590,0.000000000,0.103149590,0.0000000000,0.1031495900
CORTEX_CODE_DESKTOP,2026-06-30,0.172506640,0.000000000,0.172506640,0.0000000000,0.1725066400
CORTEX_CODE_SNOWSIGHT,2026-06-30,0.447528180,0.000000000,0.447528180,0.0000000000,0.4475281800
PIPE,2026-06-30,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
SNOWFLAKE_INTELLIGENCE,2026-06-30,7.181746610,0.000000000,7.181746610,0.0000000000,7.1817466100
TELEMETRY_DATA_INGEST,2026-06-30,0.000510053,0.000000000,0.000510053,0.0000000000,0.0005100530
TRUST_CENTER,2026-06-30,0.935834585,0.000000000,0.935834585,0.0000000000,0.9358345850
WAREHOUSE_METERING,2026-06-30,83.924999944,2.640363762,86.565363706,-2.6403637620,83.9249999440
AI_FUNCTIONS,2026-07-01,0.002293200,0.000000000,0.002293200,0.0000000000,0.0022932000
AI_INFERENCE,2026-07-01,0.014619000,0.000000000,0.014619000,0.0000000000,0.0146190000
AUTO_CLUSTERING,2026-07-01,0.001391395,0.000000000,0.001391395,0.0000000000,0.0013913950
COPY_FILES,2026-07-01,0.001890555,0.000000000,0.001890555,0.0000000000,0.0018905550
CORTEX_AGENTS,2026-07-01,0.679035770,0.000000000,0.679035770,0.0000000000,0.6790357700
PIPE,2026-07-01,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
SNOWFLAKE_COCO_SNOWSIGHT,2026-07-01,1.083054650,0.000000000,1.083054650,0.0000000000,1.0830546500
SNOWFLAKE_COWORK,2026-07-01,1.056459030,0.000000000,1.056459030,0.0000000000,1.0564590300
TELEMETRY_DATA_INGEST,2026-07-01,0.000251196,0.000000000,0.000251196,0.0000000000,0.0002511960
TRUST_CENTER,2026-07-01,0.890947145,0.000000000,0.890947145,0.0000000000,0.8909471450
WAREHOUSE_METERING,2026-07-01,71.833333283,2.633583828,74.466917111,-2.6335838280,71.8333332830
AI_FUNCTIONS,2026-07-02,0.144212400,0.000000000,0.144212400,0.0000000000,0.1442124000
AI_INFERENCE,2026-07-02,0.000277750,0.000000000,0.000277750,0.0000000000,0.0002777500
AUTO_CLUSTERING,2026-07-02,0.002286469,0.000000000,0.002286469,0.0000000000,0.0022864690
COPY_FILES,2026-07-02,0.007467223,0.000000000,0.007467223,0.0000000000,0.0074672230
CORTEX_AGENTS,2026-07-02,4.731473300,0.000000000,4.731473300,0.0000000000,4.7314733000
PIPE,2026-07-02,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
SNOWFLAKE_COCO_SNOWSIGHT,2026-07-02,11.246206350,0.000000000,11.246206350,0.0000000000,11.2462063500
SNOWFLAKE_COWORK,2026-07-02,39.213770560,0.000000000,39.213770560,0.0000000000,39.2137705600
TELEMETRY_DATA_INGEST,2026-07-02,0.001483085,0.000000000,0.001483085,0.0000000000,0.0014830850
